50

0  20  25  2  39  3  30  40  13  50  16  39  43  14  18  29  16  30  40  17  16  34  39  4  5  13  25  8  41  43  3  14  25  2  46  15  13  21  4  43  50  14  6  47  33  25  36  16  26  22  
20  0  33  27  36  43  41  23  24  39  4  26  48  47  41  34  27  37  27  3  48  47  9  38  26  38  28  46  47  1  43  46  17  4  39  1  41  26  13  17  16  16  12  10  28  11  21  19  12  26  
25  33  0  30  49  32  6  46  48  29  14  21  6  13  46  4  13  45  37  26  26  26  13  17  8  41  34  38  24  12  49  26  21  4  41  46  1  35  14  40  15  5  39  9  26  50  9  15  24  45  
2  27  30  0  30  23  23  2  5  45  20  29  33  16  44  20  2  49  28  30  49  4  26  35  44  23  19  19  16  14  29  3  18  41  18  8  13  39  14  35  42  34  18  50  11  23  18  44  33  34  
39  36  49  30  0  42  26  38  30  31  1  10  6  48  40  22  40  30  13  37  2  40  46  50  39  28  33  3  4  18  8  22  13  1  34  15  5  7  32  4  28  16  26  48  42  7  48  48  45  26  
3  43  32  23  42  0  32  17  27  6  12  16  2  36  38  19  10  25  7  42  19  16  28  18  30  48  33  41  43  33  36  11  4  23  45  2  21  50  14  18  27  24  36  5  12  45  10  6  28  45  
30  41  6  23  26  32  0  48  1  1  5  27  10  44  38  23  36  23  10  29  5  19  19  31  35  13  50  20  9  26  2  37  14  2  45  25  6  13  5  16  17  35  23  49  14  40  40  43  43  5  
40  23  46  2  38  17  48  0  48  14  24  3  41  27  10  16  35  21  29  45  4  36  18  49  14  39  14  41  42  26  43  38  28  15  40  17  35  16  46  18  13  30  10  15  44  8  4  37  19  17  
13  24  48  5  30  27  1  48  0  27  5  26  43  5  15  26  41  19  24  20  8  14  23  15  27  50  26  45  12  34  16  26  13  5  23  5  37  43  13  48  33  13  19  33  25  30  12  41  46  22  
50  39  29  45  31  6  1  14  27  0  35  7  50  33  33  28  14  36  49  17  31  28  22  50  28  9  12  45  2  35  20  6  21  23  6  22  29  45  27  9  50  31  44  29  39  18  13  15  45  33  
16  4  14  20  1  12  5  24  5  35  0  29  20  30  25  5  44  26  38  9  29  42  18  6  30  13  43  37  22  5  25  31  40  18  33  27  45  32  28  28  38  13  34  11  41  16  50  33  16  4  
39  26  21  29  10  16  27  3  26  7  29  0  13  38  18  46  38  25  12  35  41  32  30  11  15  30  20  43  24  24  33  8  20  21  39  27  21  40  15  34  39  17  44  37  27  20  8  14  39  40  
43  48  6  33  6  2  10  41  43  50  20  13  0  8  11  5  32  10  23  4  40  5  28  26  32  3  7  25  8  13  32  21  11  21  8  9  10  49  27  26  10  5  44  25  46  27  35  30  33  4  
14  47  13  16  48  36  44  27  5  33  30  38  8  0  33  35  19  44  20  45  37  43  20  10  40  45  42  47  16  43  19  48  1  14  41  2  38  8  17  15  21  31  1  37  1  47  20  4  8  31  
18  41  46  44  40  38  38  10  15  33  25  18  11  33  0  5  19  43  25  20  44  44  35  48  48  9  27  11  19  22  41  44  7  5  27  21  10  36  31  43  36  10  34  15  18  17  4  28  39  21  
29  34  4  20  22  19  23  16  26  28  5  46  5  35  5  0  3  49  22  27  23  3  11  49  47  36  32  47  17  19  25  14  43  50  45  24  33  10  43  23  28  44  25  41  1  25  10  24  47  44  
16  27  13  2  40  10  36  35  41  14  44  38  32  19  19  3  0  39  31  23  43  27  25  18  43  16  36  45  8  8  29  47  45  43  26  43  11  9  5  7  38  42  4  47  16  47  29  29  50  46  
30  37  45  49  30  25  23  21  19  36  26  25  10  44  43  49  39  0  10  1  13  25  30  41  3  50  15  27  18  14  8  28  13  36  23  33  46  13  12  8  30  49  34  48  34  26  48  12  3  8  
40  27  37  28  13  7  10  29  24  49  38  12  23  20  25  22  31  10  0  12  8  18  42  40  12  45  46  23  11  50  24  28  50  28  9  22  3  4  40  30  12  46  45  37  37  31  4  10  11  17  
17  3  26  30  37  42  29  45  20  17  9  35  4  45  20  27  23  1  12  0  50  6  11  44  11  33  6  1  25  31  47  28  9  13  2  31  42  30  16  23  1  40  40  50  49  37  26  42  9  29  
16  48  26  49  2  19  5  4  8  31  29  41  40  37  44  23  43  13  8  50  0  13  50  35  7  23  5  24  18  35  32  47  19  33  5  47  39  37  15  20  14  50  45  50  4  7  48  39  46  1  
34  47  26  4  40  16  19  36  14  28  42  32  5  43  44  3  27  25  18  6  13  0  25  34  21  16  38  14  30  18  12  3  44  26  49  5  39  6  35  10  11  44  27  24  21  13  26  42  11  39  
39  9  13  26  46  28  19  18  23  22  18  30  28  20  35  11  25  30  42  11  50  25  0  5  49  9  26  33  30  29  46  15  48  19  21  20  48  46  40  38  39  5  31  21  41  48  27  26  21  10  
4  38  17  35  50  18  31  49  15  50  6  11  26  10  48  49  18  41  40  44  35  34  5  0  13  32  43  41  19  5  23  48  5  45  14  13  36  4  13  27  33  29  34  19  13  4  45  26  50  24  
5  26  8  44  39  30  35  14  27  28  30  15  32  40  48  47  43  3  12  11  7  21  49  13  0  21  35  23  31  48  2  22  41  19  42  28  18  33  29  32  43  26  9  25  4  39  49  16  25  3  
13  38  41  23  28  48  13  39  50  9  13  30  3  45  9  36  16  50  45  33  23  16  9  32  21  0  3  12  50  5  6  49  1  29  17  10  9  13  35  48  43  5  3  38  16  24  31  4  31  26  
25  28  34  19  33  33  50  14  26  12  43  20  7  42  27  32  36  15  46  6  5  38  26  43  35  3  0  9  2  28  28  22  42  23  7  47  25  7  37  20  12  8  31  16  12  48  47  43  8  36  
8  46  38  19  3  41  20  41  45  45  37  43  25  47  11  47  45  27  23  1  24  14  33  41  23  12  9  0  3  17  38  21  45  11  1  47  10  4  10  17  39  40  33  35  26  25  35  49  12  23  
41  47  24  16  4  43  9  42  12  2  22  24  8  16  19  17  8  18  11  25  18  30  30  19  31  50  2  3  0  30  46  5  39  36  27  45  34  14  49  1  44  49  38  3  9  20  7  32  47  5  
43  1  12  14  18  33  26  26  34  35  5  24  13  43  22  19  8  14  50  31  35  18  29  5  48  5  28  17  30  0  40  41  28  2  46  23  33  1  27  13  40  9  5  40  31  11  12  42  49  6  
3  43  49  29  8  36  2  43  16  20  25  33  32  19  41  25  29  8  24  47  32  12  46  23  2  6  28  38  46  40  0  10  2  40  24  35  11  10  45  4  14  43  16  20  33  17  16  47  24  45  
14  46  26  3  22  11  37  38  26  6  31  8  21  48  44  14  47  28  28  28  47  3  15  48  22  49  22  21  5  41  10  0  16  1  40  4  36  44  1  36  48  11  6  20  26  50  29  28  2  19  
25  17  21  18  13  4  14  28  13  21  40  20  11  1  7  43  45  13  50  9  19  44  48  5  41  1  42  45  39  28  2  16  0  35  1  9  17  9  41  38  1  10  46  42  17  9  4  8  31  9  
2  4  4  41  1  23  2  15  5  23  18  21  21  14  5  50  43  36  28  13  33  26  19  45  19  29  23  11  36  2  40  1  35  0  40  42  37  9  43  10  29  28  19  7  19  1  49  33  12  4  
46  39  41  18  34  45  45  40  23  6  33  39  8  41  27  45  26  23  9  2  5  49  21  14  42  17  7  1  27  46  24  40  1  40  0  3  23  37  16  46  14  45  20  11  17  15  3  3  27  18  
15  1  46  8  15  2  25  17  5  22  27  27  9  2  21  24  43  33  22  31  47  5  20  13  28  10  47  47  45  23  35  4  9  42  3  0  17  36  46  11  5  22  46  48  26  14  10  20  11  4  
13  41  1  13  5  21  6  35  37  29  45  21  10  38  10  33  11  46  3  42  39  39  48  36  18  9  25  10  34  33  11  36  17  37  23  17  0  37  2  48  15  34  46  40  49  12  49  9  13  10  
21  26  35  39  7  50  13  16  43  45  32  40  49  8  36  10  9  13  4  30  37  6  46  4  33  13  7  4  14  1  10  44  9  9  37  36  37  0  4  12  23  29  9  47  28  34  38  46  25  3  
4  13  14  14  32  14  5  46  13  27  28  15  27  17  31  43  5  12  40  16  15  35  40  13  29  35  37  10  49  27  45  1  41  43  16  46  2  4  0  25  21  27  12  37  30  36  46  25  3  31  
43  17  40  35  4  18  16  18  48  9  28  34  26  15  43  23  7  8  30  23  20  10  38  27  32  48  20  17  1  13  4  36  38  10  46  11  48  12  25  0  50  31  44  38  38  34  7  42  48  5  
50  16  15  42  28  27  17  13  33  50  38  39  10  21  36  28  38  30  12  1  14  11  39  33  43  43  12  39  44  40  14  48  1  29  14  5  15  23  21  50  0  45  20  41  2  47  6  8  19  40  
