80

0  23  42  79  14  5  28  45  67  54  25  28  44  27  74  55  10  52  44  67  42  29  76  58  64  39  5  9  78  72  26  25  4  52  40  44  24  79  33  2  12  64  39  33  21  55  38  57  66  30  33  44  6  26  56  1  1  27  71  70  69  41  6  23  52  33  74  57  56  77  70  12  74  2  21  45  65  59  62  62  
23  0  43  25  75  4  37  75  74  30  36  42  56  4  13  65  45  35  80  65  60  23  64  62  62  61  69  39  55  49  31  1  80  60  65  24  15  52  39  5  22  36  35  54  1  66  18  22  60  54  77  6  21  44  6  59  57  48  43  79  58  56  48  45  70  28  25  79  48  68  59  73  25  20  22  19  43  3  78  59  
42  43  0  76  8  11  79  44  36  30  34  12  24  78  13  78  7  20  29  30  62  23  64  42  19  80  5  12  3  30  15  28  20  29  57  76  21  12  23  24  34  8  32  44  67  65  69  50  58  36  24  66  25  76  11  4  56  30  66  77  5  73  72  76  27  44  58  6  69  27  9  23  14  15  25  54  51  37  37  69  
79  25  76  0  77  27  10  10  46  80  40  14  11  50  60  60  3  31  45  36  13  4  39  48  68  29  76  16  38  53  16  56  4  44  77  69  15  22  45  66  59  4  63  3  80  8  29  35  72  51  43  57  66  32  49  80  78  72  64  45  55  51  13  48  63  23  66  56  33  42  12  53  77  29  48  25  50  23  20  80  
14  75  8  77  0  66  27  49  63  33  34  42  9  30  51  51  3  79  55  76  26  62  36  45  70  5  41  50  31  73  26  25  32  33  24  68  60  59  79  39  65  78  30  79  79  2  73  53  61  50  29  17  58  21  32  12  72  51  65  45  76  32  79  40  27  25  9  34  14  70  51  2  53  73  59  41  67  7  42  67  
5  4  11  27  66  0  69  20  11  21  67  8  64  22  63  73  17  3  37  67  39  40  36  76  6  4  34  34  68  34  29  33  21  47  10  68  53  63  24  63  52  6  24  37  34  22  1  28  15  74  5  71  45  11  4  2  26  5  49  26  12  40  2  25  65  46  39  59  28  68  27  28  26  80  58  57  78  56  30  40  
28  37  79  10  27  69  0  56  53  43  7  4  62  10  9  18  45  27  73  65  8  34  40  37  43  2  28  10  58  68  76  36  5  58  31  34  42  52  37  61  14  44  3  42  49  50  69  67  72  12  46  49  10  18  78  26  14  51  6  44  65  43  65  8  30  55  4  69  10  80  32  68  19  21  30  67  20  60  44  66  
45  75  44  10  49  20  56  0  78  21  58  44  53  1  66  32  5  5  23  37  11  15  50  79  52  67  65  15  24  59  69  55  43  80  45  3  37  14  28  45  59  58  65  70  29  7  13  52  45  73  37  25  56  20  26  34  53  20  80  52  8  68  51  11  72  53  73  10  77  53  69  27  55  37  12  49  69  70  72  50  
67  74  36  46  63  11  53  78  0  65  59  62  52  63  31  77  65  56  31  2  26  27  24  68  56  26  45  61  28  56  20  12  55  26  32  36  10  74  54  22  41  23  56  32  64  57  25  23  17  17  35  19  53  18  12  26  46  39  21  66  34  64  12  30  72  19  64  41  64  75  79  32  44  3  63  22  1  71  9  58  
54  30  30  80  33  21  43  21  65  0  80  36  11  44  35  34  42  41  16  64  40  27  36  46  75  42  17  23  30  79  16  12  15  9  76  21  14  8  32  19  52  43  49  66  43  12  7  48  5  42  76  79  24  68  32  61  67  55  62  50  66  14  52  24  47  35  27  58  13  79  56  57  20  6  67  11  34  36  50  52  
